retirement_id,path,tracking,role,documented_origin,known_consumers,disposition,risk_if_left,risk_if_removed,confidence,preserve_before_action,removal_or_retirement_conditions,protective_test,recovery,primary_package,package_dependencies,execution_authorization,roadmap_note
RT-036,FOLLOWUP_LOCAL_LLM_QUALIFICATION_REPORT.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_LOCAL_LLM_QUALIFICATION_REPORT.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-037,FOLLOWUP_MULTI_MODEL_PIPELINE_QUALIFICATION_REPORT.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_MULTI_MODEL_PIPELINE_QUALIFICATION_REPORT.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-038,FOLLOWUP_P0_ANDROID_CONNECTIVITY_HOTFIX_REPORT.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_P0_ANDROID_CONNECTIVITY_HOTFIX_REPORT.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-039,FOLLOWUP_P0_CANONICAL_FILE_PREPARATION_AND_AUTO_RESUME_REPORT.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_P0_CANONICAL_FILE_PREPARATION_AND_AUTO_RESUME_REPORT.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-040,FOLLOWUP_P0_CLIENTS_HTTP500_HOTFIX_REPORT.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_P0_CLIENTS_HTTP500_HOTFIX_REPORT.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-041,FOLLOWUP_P0_DOCUMENT_CONTENT_AND_GENERAL_LATENCY_REPORT.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_P0_DOCUMENT_CONTENT_AND_GENERAL_LATENCY_REPORT.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-042,FOLLOWUP_P0_KB_LOCAL_STABILITY_AND_TIMEOUT_CONTRACT_REPORT.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_P0_KB_LOCAL_STABILITY_AND_TIMEOUT_CONTRACT_REPORT.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-043,FOLLOWUP_P0_KB_SYNTHESIS_AND_DOCUMENT_DISCOVERY_REPORT.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_P0_KB_SYNTHESIS_AND_DOCUMENT_DISCOVERY_REPORT.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-044,FOLLOWUP_P0_PUBLIC_TAILSCALE_INGRESS_REGRESSION_REPORT.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_P0_PUBLIC_TAILSCALE_INGRESS_REGRESSION_REPORT.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-045,FOLLOWUP_P0_UNIFIED_ASSISTANT_CONTRACT_SYNC_REPORT.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_P0_UNIFIED_ASSISTANT_CONTRACT_SYNC_REPORT.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-046,FOLLOWUP_P0_UNIFIED_ASSISTANT_GENERAL_ROUTING_REPORT.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_P0_UNIFIED_ASSISTANT_GENERAL_ROUTING_REPORT.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-047,FOLLOWUP_P0_UNIFIED_ASSISTANT_KB_GROUNDING_REPORT.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_P0_UNIFIED_ASSISTANT_KB_GROUNDING_REPORT.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-048,FOLLOWUP_P0_UNIFIED_ASSISTANT_RETRIEVAL_LIFECYCLE_REPORT.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_P0_UNIFIED_ASSISTANT_RETRIEVAL_LIFECYCLE_REPORT.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-049,FOLLOWUP_P0_WINDOWS_WDAC_HOTFIX_REPORT.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_P0_WINDOWS_WDAC_HOTFIX_REPORT.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-050,FOLLOWUP_PRECHUNK23_ASSISTANT_PIPELINE_V2_REDESIGN_REPORT.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_PRECHUNK23_ASSISTANT_PIPELINE_V2_REDESIGN_REPORT.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-051,FOLLOWUP_PRECHUNK23_DOC04_METADATA_REPAIR_PROJECTION.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_PRECHUNK23_DOC04_METADATA_REPAIR_PROJECTION.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-052,FOLLOWUP_PRECHUNK23_FULL_SYSTEM_ROADMAP.md,tracked origin/main,kanoniczna roadmapa napraw PRE-CHUNK23 według własnego nagłówka,pełny audyt 2026-08-31 i późniejsze promocje,ręczne instrukcje; brak importu runtime,CONSOLIDATE,konkuruje z dwoma kanonicznymi planami,utrata rejestru blockerów i dowodów promocji,HIGH,przenieść nadal ważne ustalenia/dowody do nowej roadmapy lub rejestru dowodów,po zatwierdzeniu nowej roadmapy,"dokładny diff decyzji, statusów i referencji commitów",git show 9af4026eeffed2509af943bff1e37b2514bfd5e8:FOLLOWUP_PRECHUNK23_FULL_SYSTEM_ROADMAP.md,R01,R00;R01,OWNER_APPROVED_R01_20260907,Wycofano z aktywnego drzewa w R01 po mapowaniu treści i dowodów; pełne bajty pozostają odtwarzalne z Git. Odbiór właściciela oczekiwany; żadna inna ścieżka nie była autoryzowana.
RT-053,FOLLOWUP_QWEN7_PHI4_COOPERATIVE_QUALIFICATION_REPORT.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_QWEN7_PHI4_COOPERATIVE_QUALIFICATION_REPORT.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-054,FOLLOWUP_TEMP_CHAT_POST_VALIDATION_AUDIT.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_TEMP_CHAT_POST_VALIDATION_AUDIT.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-055,FOLLOWUP_TEMP_CHAT_V2_INTEROPERABILITY_REPORT.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_TEMP_CHAT_V2_INTEROPERABILITY_REPORT.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-056,FOLLOWUP_UNIFIED_ASSISTANT_IMPLEMENTATION_REPORT.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_UNIFIED_ASSISTANT_IMPLEMENTATION_REPORT.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-057,frontend/POST_BATCH_AUTH_REMOTE_PLAN.md,tracked origin/main,lokalny plan frontend/auth,historyczny etap klienta mobilnego,brak wykonawczego importu; możliwe linki dokumentacyjne,CONSOLIDATE,może sterować pracą poza aktualną sekwencją,utrata kryteriów kompatybilności klienta,MEDIUM,zachować wymagania kompatybilności w nowej roadmapie/dokumentacji API,po mapowaniu wymagań do master/followup lub OWNER_DECISION,rg referencji + testy auth obecnego klienta,git show 9af4026eeffed2509af943bff1e37b2514bfd5e8:frontend/POST_BATCH_AUTH_REMOTE_PLAN.md,R01,R00;R01,OWNER_APPROVED_R01_20260907,Wycofano z aktywnego drzewa w R01 po zachowaniu kryteriów auth/compatibility i zakresu platform; pełne bajty pozostają odtwarzalne z Git. Odbiór właściciela oczekiwany; żadna inna ścieżka nie była autoryzowana.
RT-058,gmail-repair-apply.txt,tracked origin/main,historyczny raport lub wynik operacyjny,wcześniejszy audyt/naprawa,brak automatycznego konsumenta potwierdzonego; wartość dowodowa,ARCHIVE_EVIDENCE,stare liczby/instrukcje mogą być uznane za stan bieżący,utrata pochodzenia i dowodu operacji,MEDIUM,"zachować datę, commit, zakres i bezpieczne agregaty",po zatwierdzeniu nowej roadmapy i kontroli PII,rg referencji + privacy scan,git show 483f9bf8:gmail-repair-apply.txt,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-059,gmail-repair-dry-run-v2.txt,tracked origin/main,historyczny raport lub wynik operacyjny,wcześniejszy audyt/naprawa,brak automatycznego konsumenta potwierdzonego; wartość dowodowa,ARCHIVE_EVIDENCE,stare liczby/instrukcje mogą być uznane za stan bieżący,utrata pochodzenia i dowodu operacji,MEDIUM,"zachować datę, commit, zakres i bezpieczne agregaty",po zatwierdzeniu nowej roadmapy i kontroli PII,rg referencji + privacy scan,git show 483f9bf8:gmail-repair-dry-run-v2.txt,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-060,gmail-repair-dry-run.txt,tracked origin/main,historyczny raport lub wynik operacyjny,wcześniejszy audyt/naprawa,brak automatycznego konsumenta potwierdzonego; wartość dowodowa,ARCHIVE_EVIDENCE,stare liczby/instrukcje mogą być uznane za stan bieżący,utrata pochodzenia i dowodu operacji,MEDIUM,"zachować datę, commit, zakres i bezpieczne agregaty",po zatwierdzeniu nowej roadmapy i kontroli PII,rg referencji + privacy scan,git show 483f9bf8:gmail-repair-dry-run.txt,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-061,last400documents.txt,tracked origin/main,historyczny zrzut diagnostyczny,audyt dokumentów,brak znanych konsumentów runtime,ARCHIVE_EVIDENCE,stare dane mogą być błędnie uznane za bieżące,utrata historycznego punktu odniesienia,HIGH,zachować tylko z datą/commit i kontrolą PII,po przeniesieniu niezbędnych agregatów do dowodu,privacy scan + rg konsumentów,git show 483f9bf8:last400documents.txt,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
