requirement_id,source_document,section_lines,classification,requirement,owner_clarification,user_scenario,measurable_acceptance,entrypoints,implementation,runtime,evidence,business_acceptance,evidence_refs,gap_risk_dependency,minimal_direction,primary_package,supporting_packages,finding_ids,roadmap_status,reconciliation_note,package_exit
M-029,AI_LAB_MASTER_PLAN.txt,813-853,wymaganie,Lokalny OCR wielojęzyczny,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,Obraz/skan otrzymuje tekst albo jawny błąd,"document_ocr_service.py, document_office_ocr_service.py",PRESENT,DISABLED,UNIT,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Preparation wyłączone; ingestion Vision jest słusznie zablokowane.,"Najpierw domknąć istniejący kod i bezpieczny odbiór runtime, bez tworzenia równoległego pipeline.",R10,,,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,Proces istniejący działa dla zatwierdzonych formatów i ograniczeń. Aktywacja nowej pracy produkcyjnej dopiero po osobnym planie rollout/pause.
M-030,AI_LAB_MASTER_PLAN.txt,854-920,wymaganie,Etapowy pipeline dokumentu,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,validate->metadata->extract/OCR->material->intelligence ma trwałe statusy,"document_preparation_service.py, dispatcher.py",PARTIAL,DISABLED,INTEGRATION,FAILED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,"Kolejka 15 stoi; source ma recovery/fencing, ale brak live acceptance.","Najpierw domknąć istniejący kod i bezpieczny odbiór runtime, bez tworzenia równoległego pipeline.",R10,,FND-002,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,Proces istniejący działa dla zatwierdzonych formatów i ograniczeń. Aktywacja nowej pracy produkcyjnej dopiero po osobnym planie rollout/pause.
M-031,AI_LAB_MASTER_PLAN.txt,854-920,ograniczenie,"Idempotencja, retry i fencing","Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,"Stary worker nie publikuje po reclaim, lease ma heartbeat","document_preparation_service.py, dispatcher.py",PRESENT,DISABLED,INTEGRATION,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,"18/18 testów, brak live wykonania.","Najpierw domknąć istniejący kod i bezpieczny odbiór runtime, bez tworzenia równoległego pipeline.",R10,R02;R06;R09,FND-034,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,Proces istniejący działa dla zatwierdzonych formatów i ograniczeń. Aktywacja nowej pracy produkcyjnej dopiero po osobnym planie rollout/pause.
M-032,AI_LAB_MASTER_PLAN.txt,854-920,wymaganie,Unsupported/integrity errors jawne,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,Nieobsługiwany format nie udaje sukcesu,"document_file_safety_service.py, preparation service",PRESENT,ACTIVE,UNIT,DEMONSTRATED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,"Produkcyjne statusy zawierają failed/ocr_required, ale nie pełne pokrycie.",Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R10,,,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,Proces istniejący działa dla zatwierdzonych formatów i ograniczeń. Aktywacja nowej pracy produkcyjnej dopiero po osobnym planie rollout/pause.
M-033,AI_LAB_MASTER_PLAN.txt,921-965,wymaganie,Testy reprezentatywnych formatów,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,"Fixture obejmują text, PDF, Office, image i błędy",backend/test/test_document_*,PRESENT,NOT_APPLICABLE,INTEGRATION,DEMONSTRATED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Nie wykonano produkcyjnego Office job.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R02,R10,FND-033;FND-034,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,"Zapisany powtarzalny baseline suite, brak niejawnych produkcyjnych zależności i uruchamialne testy naprawianych reguł."
M-034,AI_LAB_MASTER_PLAN.txt,966-1002,decyzja odraczająca,Batch validation przed masowym processingiem,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,Nie uruchamiać historii bez owner gate i wyników próbki,"backend/test/process_documents_batch.py, reports",PRESENT,NOT_APPLICABLE,HISTORICAL,OWNER_DECISION,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Masowe przetwarzanie pozostaje zabronione.,Przed zmianą wymagana jawna decyzja właściciela i dry-run/rollback.,R14,R10,,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,"Mierzalne, uzgodnione pokrycie i jakość podobnych realizacji, ze wskazaniem jakiej części archiwum faktycznie dotyczy odpowiedź."
M-035,AI_LAB_MASTER_PLAN.txt,1003-1044,wymaganie,Semantyczny chunking zachowujący strukturę,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,Chunk ma source/page/section i kontrolowany overlap,document_chunking_service.py,PRESENT,ACTIVE,UNIT,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Tylko 57 chunks w produkcji.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R14,,FND-022,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,"Mierzalne, uzgodnione pokrycie i jakość podobnych realizacji, ze wskazaniem jakiej części archiwum faktycznie dotyczy odpowiedź."
M-036,AI_LAB_MASTER_PLAN.txt,1045-1068,wymaganie,Embedding jako osobna funkcja,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,qwen3-embedding generuje wektory z wersją i wymiarem,"embedding_service.py, config.py",PRESENT,ACTIVE,INTEGRATION,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Model embedding rezydent; ownership po restartach jest procesowe.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R09,R13;R14,FND-023,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,Local-only użyteczny scenariusz i zasoby odebrane na właściwym zestawie; modele historyczne zachowane do końcowego consumer audit.
M-037,AI_LAB_MASTER_PLAN.txt,1069-1113,wymaganie,Qdrant z payload i generacją,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,"Kolekcje są zdrowe, punkty odtwarzalne i scope-filtered","qdrant_vector_store.py, qdrant admin",PRESENT,ACTIVE,E2E,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,57 document i 157 KB punktów; pokrycie korpusu częściowe.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R14,R03;R13,FND-022,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,"Mierzalne, uzgodnione pokrycie i jakość podobnych realizacji, ze wskazaniem jakiej części archiwum faktycznie dotyczy odpowiedź."
M-038,AI_LAB_MASTER_PLAN.txt,1114-1157,wymaganie,Global search tekstowy i semantyczny,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,Naturalne pytanie znajduje właściwy klient/dokument/projekt,"global_search_service.py, semantic search",PRESENT,ACTIVE,INTEGRATION,DEMONSTRATED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Nie wszystkie typy/formaty mają indeks.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R14,R20,,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,"Mierzalne, uzgodnione pokrycie i jakość podobnych realizacji, ze wskazaniem jakiej części archiwum faktycznie dotyczy odpowiedź."
M-039,AI_LAB_MASTER_PLAN.txt,1114-1157,ograniczenie,Filtry muszą poprzedzać limit,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,Item/scope filter nie może zgubić trafienia przez globalny top-N,knowledge_base_retrieval_service.py,PARTIAL,ACTIVE,CODE_ONLY,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Lexical KB limit jest nakładany przed item_id filter.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R08,,FND-009,PLANNED_NOT_ACCEPTED,Preferowany właściwy filtr przed limitem; bounded oversample nie gwarantuje trafienia dla dowolnego corpus.,"Spójny ślad retrieved → selected → actually provided → claimed. Sporna teza ma rozstrzygnięcie na właściwym commicie, nie etykietę z innej gałęzi."
M-040,AI_LAB_MASTER_PLAN.txt,1114-1157,ograniczenie,"Rozróżniaj błąd retrieval, pusty korpus i brak trafienia","Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,Wyjątek nie może wyglądać jak zero wyników,"unified_assistant_service.py, retrieval services",PARTIAL,ACTIVE,CODE_ONLY,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Szeroki except zamienia błąd w pustą listę.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R08,,FND-011,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,"Spójny ślad retrieved → selected → actually provided → claimed. Sporna teza ma rozstrzygnięcie na właściwym commicie, nie etykietę z innej gałęzi."
M-041,AI_LAB_MASTER_PLAN.txt,1158-1213,wymaganie,RAG z cytowalnymi źródłami,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,Każde twierdzenie ma źródło rzeczywiście przekazane modelowi,"rag_service.py, unified_assistant_service.py",PARTIAL,ACTIVE,INTEGRATION,FAILED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,"Istnieją bindingi, ale deterministyczny overview i filtr ID mogą fałszować jakość.",Minimalnie naprawić potwierdzony punkt i dodać test przed/po oraz live acceptance.,R13,R08;R15,FND-008;FND-010;FND-011;FND-012;FND-031,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,Zatwierdzony korpus i mechanizm świeżości działają; nie wystarcza liczba itemów ani sam indeks green.
M-042,AI_LAB_MASTER_PLAN.txt,1158-1213,ograniczenie,Budżet kontekstu bez utraty istotnych warstw,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,"Wybrany dokument, KB i Visual zachowują wymagane pokrycie",unified_assistant_service.py,PARTIAL,ACTIVE,UNIT,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Źródła są ograniczane; Visual V2 w main nie istnieje.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R08,R15,FND-008,PLANNED_NOT_ACCEPTED,C-004: main bez supplemental Visual nie rozstrzyga utraty KB w rescue. Test rzeczywistego _collect 5+3+4 w R08; status CODE_SUPPORTED_NOT_REPRODUCED do czasu testu.,"Spójny ślad retrieved → selected → actually provided → claimed. Sporna teza ma rozstrzygnięcie na właściwym commicie, nie etykietę z innej gałęzi."
M-043,AI_LAB_MASTER_PLAN.txt,1214-1263,wymaganie,Client Knowledge izolowane per klient,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,Zapytanie klienta nie widzi obcych danych,"client_knowledge_service.py, agent_tool_registry.py",PRESENT,ACTIVE,INTEGRATION,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Legacy client knowledge nadal używa llama3.2.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R09,R16;R20,,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,Local-only użyteczny scenariusz i zasoby odebrane na właściwym zestawie; modele historyczne zachowane do końcowego consumer audit.
M-044,AI_LAB_MASTER_PLAN.txt,1214-1263,wymaganie,Podobne realizacje,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,Semantic retrieval wskazuje porównywalne projekty z dowodami,"projects, Qdrant/global search",PARTIAL,ACTIVE,UNIT,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Brak dedykowanej warstwy case similarity i E2E biznesowego.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R14,R15;R21,,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,"Mierzalne, uzgodnione pokrycie i jakość podobnych realizacji, ze wskazaniem jakiej części archiwum faktycznie dotyczy odpowiedź."
M-045,AI_LAB_MASTER_PLAN.txt,1264-1305,wymaganie,Jeden Unified Assistant,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,"UI i API łączą CRM, dokument, KB, obliczenia i eskalację","api/ai.py, unified_assistant_service.py, unified_assistant_page.dart",PRESENT,ACTIVE,INTEGRATION,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Pełne F0 historyczne; brak bieżącego modelowego E2E.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R16,R09;R15,,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,"Kamień K1: działający CRM + analityczny Asystent, gotowy do osobnego kontrolowanego wydania, mimo nadal otwartych ofert/umów/metod. Nie oznaczać pełnego Masterplan PASS."
M-046,AI_LAB_MASTER_PLAN.txt,1264-1305,wymaganie,Naturalne parafrazy i wybrany dokument,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,"Prośba o analizę wybranego dokumentu uruchamia wykonanie, nie opis możliwości",unified_assistant_service.py query mode,PARTIAL,ACTIVE,INTEGRATION,FAILED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,„Czy możesz przeanalizować ten dokument?” klasyfikuje SYSTEM_META.,Minimalnie naprawić potwierdzony punkt i dodać test przed/po oraz live acceptance.,R07,,FND-007,PLANNED_NOT_ACCEPTED,Brak selected document nie jest automatycznie capability. Wskazany jednoznacznie materiał należy rozwiązać albo poprosić o doprecyzowanie.,Reprezentatywny zestaw parafraz daje zgodny plan/intencję i prawidłowe zachowanie uprawnień.
M-047,AI_LAB_MASTER_PLAN.txt,1264-1305,wymaganie,Opcjonalny klient/dokument i izolacja zakresu,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,Run wiąże target i nie miesza rozmów/klientów,"assistant_run_service.py, planner.py, conversations API",PRESENT,ACTIVE,INTEGRATION,DEMONSTRATED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Aktualny wyścig soft-delete/publikacja w main.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R06,R08;R20,,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,Poprawki działają na docelowym kandydacie z izolowaną integracją; po R16 także w aplikacji. Nie przenosić statusu rescue PASS do produkcji bez deploy evidence.
M-048,AI_LAB_MASTER_PLAN.txt,1264-1305,wymaganie,"Trwały run, background/restart/retry","Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,"Zmiana zakładki/minimalizacja nie anuluje pracy, reopen odtwarza stan","assistant_run.py, dispatcher.py, Flutter controller",PRESENT,ACTIVE,INTEGRATION,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Brak fizycznego Android runtime w tym audycie.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R06,R09;R16,,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,Poprawki działają na docelowym kandydacie z izolowaną integracją; po R16 także w aplikacji. Nie przenosić statusu rescue PASS do produkcji bez deploy evidence.
M-049,AI_LAB_MASTER_PLAN.txt,1264-1305,wymaganie,Chat history rename/delete/cancel,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,"Delete!=cancel, rename trwały, cancel jawny","assistant_conversation_service.py, assistant_run_service.py, Flutter",PARTIAL,ACTIVE,INTEGRATION,FAILED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Race publication-after-delete poprawiony dopiero w rescue.,Minimalnie naprawić potwierdzony punkt i dodać test przed/po oraz live acceptance.,R06,R16,FND-006,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,Poprawki działają na docelowym kandydacie z izolowaną integracją; po R16 także w aplikacji. Nie przenosić statusu rescue PASS do produkcji bez deploy evidence.
M-050,AI_LAB_MASTER_PLAN.txt,1264-1305,wymaganie,Qwen 9B jako główny reasoner,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,"Nowy Assistant używa qwen3.5:9b, embedding pozostaje osobny","unified_assistant_service.py, document_intelligence_service.py",PRESENT,ACTIVE,CODE_ONLY,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Legacy RAG/Agent/Business/Technical nadal używają llama3.2.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R09,R15,FND-029,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,Local-only użyteczny scenariusz i zasoby odebrane na właściwym zestawie; modele historyczne zachowane do końcowego consumer audit.
M-051,AI_LAB_MASTER_PLAN.txt,1306-1369,wymaganie,Generowanie ofert z danych sprawy,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,"Draft zawiera zakres, cenę, założenia i źródła",przeszukano backend/app i frontend/lib,NOT_FOUND_IN_AUDITED_SCOPE,NOT_APPLICABLE,NONE,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Brak funkcji produktu.,Dostarczyć brakującą funkcję jako mały zatwierdzony pakiet z projektem danych/API/UI.,R18,,FND-001,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,"M-013/M-051/M-052 mają działające encje, API/UI i odbiór właściciela; sam wygenerowany tekst nie wystarcza."
M-052,AI_LAB_MASTER_PLAN.txt,1306-1369,wymaganie,Wersje/status/akceptacja oferty,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,"Zmiany są wersjonowane, publikacja wymaga człowieka",przeszukano models/api/services/frontend,NOT_FOUND_IN_AUDITED_SCOPE,NOT_APPLICABLE,NONE,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Brak funkcji produktu.,Dostarczyć brakującą funkcję jako mały zatwierdzony pakiet z projektem danych/API/UI.,R18,,FND-001,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,"M-013/M-051/M-052 mają działające encje, API/UI i odbiór właściciela; sam wygenerowany tekst nie wystarcza."
M-053,AI_LAB_MASTER_PLAN.txt,1370-1415,wymaganie,Generowanie umowy z zaakceptowanej oferty,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,"Umowa dziedziczy dane, wersje i approval",przeszukano models/api/services/frontend,NOT_FOUND_IN_AUDITED_SCOPE,NOT_APPLICABLE,NONE,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Brak funkcji produktu.,Dostarczyć brakującą funkcję jako mały zatwierdzony pakiet z projektem danych/API/UI.,R19,,FND-001,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,M-014/M-053 i końcowa część §42 działają w UI ze źródłem warunków i pełnym audytem.
M-054,AI_LAB_MASTER_PLAN.txt,1416-1446,wymaganie,Analiza techniczna oparta na sprawie i KB,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,"Odpowiedź rozdziela fakty, reguły, hipotezy i braki","unified_assistant_service.py, analysis_result_contract.py",PARTIAL,ACTIVE,INTEGRATION,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,KB może zostać wyłączone przez mixed-intent z adresem.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R15,R13;R17,FND-008;FND-012,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,"Obie ścieżki Temporary Chat mają dzisiejszy evidence i wersję workerów; poprawność, użyteczność i bezpieczeństwo odebrane razem."
M-055,AI_LAB_MASTER_PLAN.txt,1447-1516,wymaganie,Deterministyczne obliczenia inżynierskie,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,"Jednostki i formuła są walidowane, brakujące dane powodują refusal","analysis_calculation_validator.py, analysis_processors.py",PRESENT,ACTIVE,UNIT,DEMONSTRATED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Brak kompletnej biblioteki wszystkich metod z masterplanu.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R17,R18,FND-010,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru. Wymaganie agreguje wiele podpunktów masterplanu; lista podkryteriów obowiązkowa w R01 i odpowiednim pakiecie.,Rejestr metod rozstrzygnięty: wymagane metody zwalidowane; pozostałe jawnie odroczone decyzją scope i nie liczone do pełnej realizacji. Funkcje nie są zamykane samym green engine test.
M-056,AI_LAB_MASTER_PLAN.txt,1517-1581,aspiracja,Normy i wiedza zewnętrzna,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,"Aktualne normy są wersjonowane i cytowane, bez dowolnego webu","Knowledge Base, brak dedykowanego connectora",PARTIAL,ACTIVE,CODE_ONLY,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,"KB istnieje, lecz brak mechanizmu aktualności zewnętrznych norm.",Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R13,R15;R17,FND-030,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru. Wymaganie agreguje wiele podpunktów masterplanu; lista podkryteriów obowiązkowa w R01 i odpowiednim pakiecie.,Zatwierdzony korpus i mechanizm świeżości działają; nie wystarcza liczba itemów ani sam indeks green.
